booking_id,student_id,room_id,date,start_time,end_time,activity,status
B0001,1000047,R310,2026-08-20,09:00,10:00,Makeup Class,Confirmed
B0002,1000166,R128,2026-08-25,16:00,17:00,Makeup Class,Confirmed
B0003,1000065,R138,2026-08-21,09:00,10:00,Project Work,Confirmed
B0004,1000085,R242,2026-08-26,16:00,17:00,Club Meeting,Confirmed
B0005,1000073,R206,2026-08-20,09:00,10:00,Makeup Class,Confirmed
B0006,1000125,R136,2026-08-20,14:00,15:00,Guest Lecture,Confirmed
B0007,1000178,R349,2026-08-26,13:00,14:00,Makeup Class,Confirmed
B0008,1000081,R219,2026-08-26,14:00,15:00,Guest Lecture,Confirmed
B0009,1000064,R227,2026-08-17,14:00,15:00,Group Discussion,Confirmed
B0010,1000035,R444,2026-08-21,14:00,15:00,Club Meeting,Confirmed
B0011,1000092,R506,2026-08-24,16:00,17:00,Club Meeting,Confirmed
B0012,1000045,R510,2026-08-25,09:00,10:00,Makeup Class,Confirmed
B0013,1000138,R142,2026-08-21,10:00,11:00,Group Discussion,Confirmed
B0014,1000149,R110,2026-08-25,08:00,09:00,Makeup Class,Confirmed
B0015,1000010,R428,2026-08-26,11:00,12:00,Makeup Class,Confirmed
B0016,1000121,R314,2026-08-25,17:00,18:00,Group Discussion,Confirmed
B0017,1000129,R329,2026-08-19,16:00,17:00,Makeup Class,Confirmed
B0018,1000129,R147,2026-08-23,14:00,15:00,Project Work,Confirmed
B0019,1000194,R303,2026-08-26,10:00,11:00,Makeup Class,Confirmed
B0020,1000046,R212,2026-08-24,10:00,11:00,Makeup Class,Confirmed
B0021,1000092,R550,2026-08-19,16:00,17:00,Project Work,Confirmed
B0022,1000060,R133,2026-08-21,14:00,15:00,Project Work,Confirmed
B0023,1000100,R246,2026-08-25,14:00,15:00,Guest Lecture,Confirmed
B0024,1000167,R453,2026-08-17,08:00,09:00,Club Meeting,Confirmed
B0025,1000190,R153,2026-08-25,13:00,14:00,Club Meeting,Confirmed
B0026,1000097,R557,2026-08-25,10:00,11:00,Guest Lecture,Confirmed
B0027,1000133,R408,2026-08-26,09:00,10:00,Club Meeting,Confirmed
B0028,1000104,R413,2026-08-20,17:00,18:00,Club Meeting,Confirmed
B0029,1000155,R357,2026-08-24,16:00,17:00,Project Work,Confirmed
B0030,1000043,R517,2026-08-19,16:00,17:00,Group Discussion,Confirmed
B0031,1000055,R140,2026-08-25,13:00,14:00,Group Discussion,Confirmed
B0032,1000155,R236,2026-08-19,14:00,15:00,Project Work,Confirmed
B0033,1000185,R258,2026-08-23,14:00,15:00,Project Work,Confirmed
B0034,1000054,R507,2026-08-24,16:00,17:00,Makeup Class,Confirmed
