room_id,building,floor,capacity,projector,smart_board,computers,wifi,air_conditioning
R101,Block 1,1,25,Yes,Yes,Yes,Yes,No
R102,Block 1,1,70,Yes,Yes,Yes,Yes,Yes
R103,Block 1,1,20,Yes,No,No,Yes,Yes
R104,Block 1,1,40,Yes,Yes,No,Yes,Yes
R105,Block 1,1,30,Yes,No,Yes,Yes,Yes
R106,Block 1,1,45,Yes,No,No,Yes,No
R107,Block 1,1,50,Yes,Yes,No,Yes,Yes
R108,Block 1,1,35,Yes,Yes,Yes,Yes,Yes
R109,Block 1,1,35,No,Yes,No,Yes,Yes
R110,Block 1,1,45,Yes,Yes,No,Yes,No
R111,Block 1,1,30,Yes,Yes,No,Yes,No
R112,Block 1,1,70,Yes,Yes,No,Yes,No
R113,Block 1,1,45,Yes,Yes,No,Yes,No
R114,Block 1,1,35,Yes,Yes,No,Yes,Yes
R115,Block 1,1,35,Yes,Yes,No,Yes,No
R116,Block 1,2,45,Yes,No,No,Yes,Yes
R117,Block 1,2,25,Yes,Yes,No,Yes,Yes
R118,Block 1,2,80,No,Yes,No,Yes,Yes
R119,Block 1,2,25,Yes,Yes,Yes,Yes,Yes
R120,Block 1,2,50,Yes,Yes,No,Yes,No
R121,Block 1,2,30,Yes,Yes,No,Yes,Yes
R122,Block 1,2,35,Yes,No,No,Yes,Yes
R123,Block 1,2,20,Yes,Yes,Yes,Yes,No
R124,Block 1,2,40,Yes,Yes,No,Yes,No
R125,Block 1,2,25,No,Yes,Yes,Yes,No
R126,Block 1,2,30,Yes,No,No,Yes,Yes
R127,Block 1,2,35,Yes,Yes,No,Yes,No
R128,Block 1,2,60,Yes,Yes,No,Yes,Yes
R129,Block 1,2,35,Yes,No,Yes,Yes,Yes
R130,Block 1,2,45,Yes,Yes,No,Yes,Yes
R131,Block 1,3,80,Yes,Yes,No,Yes,Yes
R132,Block 1,3,50,Yes,Yes,No,Yes,No
R133,Block 1,3,25,Yes,No,No,Yes,Yes
R134,Block 1,3,70,Yes,Yes,Yes,Yes,No
R135,Block 1,3,60,Yes,No,Yes,Yes,Yes
R136,Block 1,3,20,No,No,No,Yes,Yes
R137,Block 1,3,35,No,No,Yes,Yes,Yes
R138,Block 1,3,60,Yes,No,No,Yes,No
R139,Block 1,3,60,Yes,Yes,No,Yes,Yes
R140,Block 1,3,45,Yes,Yes,No,Yes,Yes
R141,Block 1,3,70,Yes,Yes,No,Yes,Yes
R142,Block 1,3,25,No,Yes,No,Yes,Yes
R143,Block 1,3,80,Yes,Yes,Yes,Yes,Yes
R144,Block 1,3,40,Yes,No,No,Yes,No
R145,Block 1,3,25,Yes,Yes,No,Yes,Yes
R146,Block 1,4,70,Yes,No,No,Yes,Yes
R147,Block 1,4,30,Yes,Yes,No,No,No
R148,Block 1,4,70,Yes,No,No,Yes,No
R149,Block 1,4,30,Yes,No,No,Yes,Yes
R150,Block 1,4,35,Yes,Yes,No,Yes,Yes
R151,Block 1,4,20,Yes,Yes,Yes,Yes,No
R152,Block 1,4,40,Yes,Yes,No,Yes,Yes
R153,Block 1,4,30,Yes,No,No,Yes,Yes
R154,Block 1,4,40,Yes,No,No,Yes,Yes
R155,Block 1,4,35,Yes,Yes,No,Yes,No
R156,Block 1,4,30,No,Yes,Yes,Yes,Yes
R157,Block 1,4,50,Yes,No,No,Yes,No
R158,Block 1,4,35,Yes,No,Yes,Yes,No
R159,Block 1,4,35,Yes,No,No,Yes,No
R160,Block 1,4,35,Yes,Yes,No,Yes,No
R201,Block 2,1,40,Yes,Yes,No,Yes,Yes
R202,Block 2,1,20,Yes,No,Yes,No,Yes
