schedule_id,room_id,date,start_time,end_time,activity
T0001,R101,2026-08-25,17:00,19:00,Seminar
T0002,R102,2026-08-18,13:00,15:00,Tutorial
T0003,R103,2026-08-17,12:00,13:00,Workshop
T0004,R104,2026-08-24,12:00,13:00,Lecture
T0005,R105,2026-08-19,08:00,10:00,Lecture
T0006,R106,2026-08-21,15:00,17:00,Lab
T0007,R107,2026-08-21,12:00,13:00,Tutorial
T0008,R108,2026-08-21,12:00,13:00,Tutorial
T0009,R109,2026-08-21,12:00,13:00,Workshop
T0010,R110,2026-08-25,10:00,12:00,Workshop
T0011,R111,2026-08-26,15:00,17:00,Seminar
T0012,R112,2026-08-26,10:00,12:00,Lecture
T0013,R113,2026-08-24,13:00,15:00,Tutorial
T0014,R114,2026-08-22,13:00,15:00,Tutorial
T0015,R115,2026-08-22,17:00,19:00,Lab
T0016,R116,2026-08-24,08:00,10:00,Seminar
T0017,R117,2026-08-22,13:00,15:00,Seminar
T0018,R118,2026-08-20,12:00,13:00,Tutorial
T0019,R119,2026-08-21,17:00,19:00,Workshop
T0020,R120,2026-08-20,13:00,15:00,Workshop
T0021,R121,2026-08-20,15:00,17:00,Lab
T0022,R122,2026-08-23,13:00,15:00,Seminar
T0023,R123,2026-08-19,08:00,10:00,Tutorial
T0024,R124,2026-08-19,17:00,19:00,Workshop
T0025,R125,2026-08-20,10:00,12:00,Tutorial
T0026,R126,2026-08-20,10:00,12:00,Lab
T0027,R127,2026-08-24,13:00,15:00,Tutorial
T0028,R128,2026-08-24,12:00,13:00,Seminar
T0029,R129,2026-08-20,12:00,13:00,Seminar
T0030,R130,2026-08-20,15:00,17:00,Workshop
T0031,R131,2026-08-18,10:00,12:00,Seminar
T0032,R131,2026-08-20,08:00,10:00,Seminar
T0033,R131,2026-08-22,15:00,17:00,Lab
T0034,R131,2026-08-23,08:00,10:00,Tutorial
T0035,R131,2026-08-24,10:00,12:00,Lab
T0036,R132,2026-08-17,17:00,19:00,Lab
T0037,R132,2026-08-20,08:00,10:00,Seminar
T0038,R132,2026-08-24,13:00,15:00,Lab
T0039,R133,2026-08-19,08:00,10:00,Lab
T0040,R133,2026-08-19,10:00,12:00,Tutorial
T0041,R133,2026-08-19,17:00,19:00,Lecture
T0042,R133,2026-08-22,15:00,17:00,Workshop
T0043,R133,2026-08-22,17:00,19:00,Workshop
T0044,R133,2026-08-25,15:00,17:00,Tutorial
T0045,R134,2026-08-17,13:00,15:00,Tutorial
T0046,R134,2026-08-22,13:00,15:00,Tutorial
T0047,R134,2026-08-24,08:00,10:00,Lecture
T0048,R134,2026-08-26,13:00,15:00,Lecture
T0049,R135,2026-08-18,08:00,10:00,Tutorial
T0050,R135,2026-08-20,13:00,15:00,Lecture
T0051,R135,2026-08-22,08:00,10:00,Workshop
T0052,R135,2026-08-24,10:00,12:00,Tutorial
T0053,R135,2026-08-24,13:00,15:00,Seminar
T0054,R135,2026-08-25,10:00,12:00,Seminar
T0055,R136,2026-08-19,08:00,10:00,Lecture
T0056,R136,2026-08-20,08:00,10:00,Lecture
T0057,R136,2026-08-20,12:00,13:00,Workshop
T0058,R136,2026-08-23,17:00,19:00,Tutorial
T0059,R136,2026-08-25,08:00,10:00,Workshop
T0060,R136,2026-08-26,12:00,13:00,Lecture
T0061,R137,2026-08-18,17:00,19:00,Lecture
T0062,R137,2026-08-21,12:00,13:00,Seminar
T0063,R137,2026-08-25,17:00,19:00,Seminar
